6.2528;-75.56437
6.25202;-75.56319
6.24834;-75.56534
6.24786;-75.56572
6.24761;-75.56589
6.24758;-75.5659
6.24684;-75.56649
6.24446;-75.5682
6.24395;-75.56849
6.24118;-75.56968
6.24111;-75.5697
6.24014;-75.57012
6.23931;-75.57037
6.23896;-75.57043
6.23852;-75.57046
6.2345;-75.5702
6.23444;-75.57024
6.2344;-75.57032
6.23436;-75.57045
6.23438;-75.5706
6.23466;-75.57134
6.23035;-75.57315
6.23038;-75.57318
6.23077;-75.57375
6.23086;-75.57396
6.23106;-75.57462
6.23119;-75.57496
6.23163;-75.5764
6.23171;-75.57644
6.23186;-75.57655
6.23214;-75.57664
6.23252;-75.57663
6.23281;-75.57657
6.23294;-75.57647
6.23297;-75.57642
6.23298;-75.57637
6.23298;-75.57629
6.23297;-75.57625
6.2329;-75.57614
6.23284;-75.57609
6.23262;-75.57595
6.23165;-75.57588
6.23131;-75.57588
6.23089;-75.57591
6.20803;-75.57911
6.20298;-75.57991
6.1996;-75.58035
6.19868;-75.5806
6.19474;-75.58206
6.1931;-75.58253
6.19003;-75.58323
6.18939;-75.58342
6.18882;-75.5837
6.18836;-75.58402
6.18801;-75.58432
6.18773;-75.58463
6.18683;-75.58578
6.18652;-75.58624
6.18558;-75.58747
6.185;-75.58814
6.18425;-75.58885
6.18362;-75.58934
6.18193;-75.59052
6.18088;-75.5911
6.17851;-75.59269
6.17818;-75.59295
6.17732;-75.59377
6.17657;-75.59468
6.17564;-75.59598
6.1756;-75.59602
6.17328;-75.59933
6.17267;-75.60011
6.17217;-75.60085
6.17206;-75.60097
6.16845;-75.60602
6.1684;-75.60611
6.16736;-75.60748
6.16723;-75.6077
6.1648;-75.61101
6.16453;-75.61146
6.16398;-75.61218
6.16204;-75.61501
6.1617;-75.61544
6.1613;-75.61605
6.1557;-75.6238
6.15551;-75.62415
6.15543;-75.62435
6.15423;-75.62834
6.15402;-75.62882
6.15356;-75.6297
6.15338;-75.6301
6.15296;-75.63146
6.15294;-75.63163
6.15281;-75.63174
6.15262;-75.63184
6.15148;-75.63206
6.15127;-75.63212
6.15103;-75.63222
6.15039;-75.6326
6.15031;-75.63262
6.14998;-75.63265
6.14883;-75.63266
6.14862;-75.63264
6.14849;-75.6326
6.14844;-75.63257
6.14833;-75.63253
6.14817;-75.63243
6.14694;-75.63118
6.1466;-75.6309
6.14648;-75.63084
6.14629;-75.63077
6.14596;-75.63073
6.14559;-75.6308
6.14445;-75.63115
6.13995;-75.63221
6.13971;-75.63225
6.1395;-75.63226
6.13932;-75.63225
6.13908;-75.6322
6.13835;-75.63182
6.13809;-75.63166
6.1379;-75.63158
6.13776;-75.63156
6.13764;-75.63157
6.13757;-75.63159
6.13697;-75.63189
6.13687;-75.63192
6.1366;-75.63195
6.13637;-75.63194
6.13618;-75.6319
6.13599;-75.63182
6.13559;-75.63157
6.13533;-75.63137
6.13522;-75.63132
6.13502;-75.63129
6.13486;-75.63131
6.13441;-75.63144
6.13426;-75.63146
6.13406;-75.63144
6.13345;-75.63129
6.13311;-75.63126
6.13138;-75.63122
6.13128;-75.6312
6.13123;-75.63117
6.13113;-75.63114
6.1309;-75.63097
6.13084;-75.63091
6.13075;-75.63079
6.1306;-75.63018
6.13056;-75.63008
6.13047;-75.62992
6.13037;-75.62981
6.13022;-75.62972
6.13004;-75.62966
6.12982;-75.62965
6.1289;-75.62978
6.12865;-75.62978
6.12833;-75.62975
6.12773;-75.62965
6.12744;-75.62955
6.12681;-75.62915
6.12656;-75.62904
6.12637;-75.62901
6.12621;-75.62902
6.12436;-75.62947
6.12359;-75.62956
6.12311;-75.62956
6.12195;-75.62943
6.11984;-75.62906
6.11891;-75.62882
6.11858;-75.62879
6.1182;-75.62883
6.11805;-75.62886
6.1179;-75.62891
6.11754;-75.62912
6.11737;-75.62924
6.11717;-75.62944
6.11683;-75.62997
6.11673;-75.63008
6.11664;-75.63014
6.11658;-75.63016
6.11633;-75.63018
6.11609;-75.63012
6.11497;-75.62971
6.11468;-75.62963
6.11422;-75.62954
6.114;-75.62952
6.11391;-75.62953
6.11384;-75.62955
