2.07365;-77.03549;El Bordo - Mojarras, Patía, Cauca, Colombia
2.01543;-77.08253;El Bordo - Mojarras, Patía, Cauca, Colombia
1.92461;-77.16636;Mojarras - El Bordo, Mercaderes, Cauca, Colombia
1.86888;-77.2167;Mojarras - El Tablon, Mercaderes, Cauca, Colombia
1.80019;-77.26572;Mojarras - El Tablon, Mercaderes, Cauca, Colombia
1.76709;-77.28689;Mojarras - El Tablon, Mercaderes, Cauca, Colombia
1.72512;-77.30572;El Tablon - Mojarras, Mercaderes, Cauca, Colombia
1.67374;-77.33107;Remolino-El Tablón, El Remolino, El Recodo, Taminango, Nariño, Colombia
1.64265;-77.3364;El Tablon - Mojarras, Taminango, Nariño, Colombia
1.5857;-77.35674;El Tablon - Mojarras, Taminango, Nariño, Colombia
1.54032;-77.36787;El Tablon - Pasto, Taminango, Nariño, Colombia
1.53826;-77.34101;El Tablon - Pasto, Taminango, Nariño, Colombia
1.53015;-77.31766;El Tablon - Pasto, Taminango, Nariño, Colombia
1.51207;-77.31624;El Tablon - Pasto, Taminango, Nariño, Colombia
1.49278;-77.30677;El Tablon - Pasto, Chachagüí, Nariño, Colombia
1.46576;-77.27745;El Tablon - Pasto, Chachagüí, Nariño, Colombia
1.36317;-77.28341;25, Chachagüí, Nariño, Colombia
1.33818;-77.27782;Chachagüí-Pasto, Chachagüí, Nariño, Colombia
1.31555;-77.2773;Chachagüí-Pasto, Chachagüí, Nariño, Colombia
1.29786;-77.27018;Chachagüí-Pasto, Chachagüí, Nariño, Colombia
1.27603;-77.26718;Chachagüí-Pasto, Pasto, Nariño, Colombia
1.2223;-77.24371;25NRD, Pasto, Nariño, Colombia
1.16401;-77.28185;25NRD, Pasto, Nariño, Colombia
1.13414;-77.35361;Pasto - Tangua, Tangua, Nariño, Colombia
1.11011;-77.3797;Pasto - Tangua, Tangua, Nariño, Colombia
1.07736;-77.41608;Pilcuan-Tangua, Tangua, Nariño, Colombia
1.05282;-77.43789;Pilcuan-Tangua, Yacuanquer, Nariño, Colombia
1.01414;-77.48108;San Juan de España-El Pedregal, Iles, Nariño, Colombia
0.9506;-77.47151;San Juan de España-El Pedregal, Iles, Nariño, Colombia
0.92565;-77.50453;San Juan de España-El Pedregal, Contadero, Nariño, Colombia
0.89612;-77.53968;San Juan de España-El Pedregal, Córdoba, Nariño, Colombia
0.8686;-77.57609;Ipiales-San Juan de España, Córdoba, Nariño, Colombia
0.82554;-77.63949;Cl. 14 #6-1, Ipiales, Nariño, Colombia
